district,division,season,year,rainfall_mm_seasonal,temp_max_avg_C,temp_min_avg_C,humidity_avg_pct,dry_spell_days,rainfall_deviation_pct,onset_monsoon_deviation_days,fog_days,soil_type,soil_pH,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,ec_dS_m,crop_name,sowing_date_deviation,irrigation_type,seed_variety,fertilizer_kg_ha,pesticide_applications,previous_crop,ndvi_sowing,ndvi_peak,ndvi_delta,ndvi_stress_weeks,humidity_streak_days,temp_disease_window,prev_season_disease,pest_alert_issued,yield_kg_per_hectare,disease_risk_score,disease_risk_label,scenario
Jalgaon,Nashik,Year-Round,2013,65.5,40.7,19.7,21.7,8,-6.4,0,0,Medium Black,6.6,0.55,193.5,19.7,355.3,22.2,0.58,Grapes,2,drip,Desi,149.1,6,Jowar,0.39,0.78,0.39,0,8,4,0,0,24894.9,0.181,Low,normal
Pune,Pune,Kharif,2013,695.3,33.8,15.9,70.4,4,9.1,0,0,Deep Black Cotton,7.6,0.65,265.6,24.8,343.3,23.4,0.3,Soybean,-2,sprinkler,Hybrid,177.2,4,Soybean,0.33,0.6,0.27,0,5,11,0,1,1132.1,0.435,Medium,normal
Pune,Pune,Year-Round,2013,93.7,39.1,19.9,39.3,7,10.3,0,0,Medium Black,7.2,0.4,223.4,24.4,313.6,18.5,0.26,Sugarcane,-1,furrow,BT,182.5,3,Tur Dal,0.36,0.63,0.27,1,9,7,1,0,56056.9,0.498,Medium,normal
Pune,Pune,Kharif,2013,701.6,32.5,13.7,54.4,4,10.1,-2,0,Medium Black,7.7,0.5,241.4,29.4,419.4,21.2,0.32,Jowar,4,furrow,Hybrid,200.2,3,Cotton,0.33,0.64,0.31,1,4,2,0,1,1061.3,0.291,Medium,normal
Satara,Pune,Kharif,2013,660.3,32.1,13.7,84.9,4,3.6,0,0,Medium Black,6.5,0.69,248.6,21.9,264.1,25.8,0.74,Soybean,5,drip,Hybrid,284.2,6,Cotton,0.47,0.59,0.12,0,7,23,1,0,1761.9,0.502,High,normal
Satara,Pune,Year-Round,2013,95.4,37.2,20.0,50.0,5,12.3,0,0,Medium Black,7.2,0.65,204.4,16.3,420.2,26.1,0.32,Sugarcane,-7,rainfed,BT,85.3,5,Jowar,0.33,0.73,0.4,1,8,3,1,0,59832.4,0.419,Medium,normal
Satara,Pune,Kharif,2013,712.2,33.3,15.6,91.9,9,11.7,-1,0,Medium Black,7.1,0.57,153.2,22.6,360.8,21.9,0.32,Jowar,1,rainfed,Hybrid,218.0,4,Sugarcane,0.33,0.76,0.43,1,7,0,0,0,944.1,0.313,Medium,normal
Sangli,Pune,Kharif,2013,726.7,32.8,16.9,92.9,12,14.0,-3,0,Deep Black Cotton,7.5,0.77,206.9,34.8,434.1,29.3,0.85,Soybean,-4,drip,BT,263.9,1,Sugarcane,0.28,0.8,0.52,0,2,12,0,1,1717.0,0.286,Medium,normal
Sangli,Pune,Year-Round,2013,68.5,36.5,19.0,39.3,5,-19.4,0,0,Deep Black Cotton,8.2,0.74,238.4,23.1,489.3,24.9,1.02,Sugarcane,-7,drip,Hybrid,201.7,3,Jowar,0.46,0.56,0.1,1,18,6,1,1,59706.8,1.0,Critical,pest_outbreak
Sangli,Pune,Kharif,2013,664.0,32.7,16.3,91.6,6,4.2,0,0,Deep Black Cotton,7.5,0.58,260.6,18.2,358.6,33.6,0.58,Jowar,-1,rainfed,Hybrid,271.9,7,Jowar,0.41,0.66,0.25,0,5,2,0,0,916.7,0.037,Low,normal
Solapur,Pune,Kharif,2013,633.8,32.3,13.3,74.8,9,-0.6,0,0,Medium Black,7.5,0.56,171.3,18.7,251.6,28.9,0.39,Soybean,-1,canal,Hybrid,197.4,4,Onion,0.36,0.52,0.16,0,6,22,0,0,1555.1,0.347,Medium,normal
Solapur,Pune,Year-Round,2013,90.0,36.9,20.9,49.1,10,5.9,0,0,Medium Black,7.7,0.5,209.9,13.7,326.6,33.9,0.55,Sugarcane,5,furrow,BT,183.1,5,Grapes,0.42,0.62,0.2,0,1,0,0,0,63213.6,0.014,Low,normal
Solapur,Pune,Kharif,2013,545.8,33.3,13.8,85.6,9,-14.4,2,0,Deep Black Cotton,7.6,0.68,200.0,34.5,370.0,36.9,1.15,Jowar,-4,drip,Hybrid,122.7,3,Tur Dal,0.37,0.64,0.27,0,5,6,0,0,1123.5,0.126,Low,normal
Kolhapur,Pune,Kharif,2013,529.8,33.0,13.6,86.5,12,-16.9,-1,0,Deep Black Cotton,7.7,0.58,200.6,30.1,390.3,39.2,0.53,Soybean,1,canal,BT,106.4,2,Onion,0.4,0.55,0.15,0,7,14,0,0,1243.7,0.304,Medium,normal
Kolhapur,Pune,Year-Round,2013,101.0,36.6,18.4,25.0,10,18.9,0,0,Medium Black,7.6,0.56,168.9,13.1,334.9,15.3,0.39,Sugarcane,1,furrow,Hybrid,153.0,1,Cotton,0.28,0.68,0.4,0,1,0,1,0,66388.3,0.16,Low,normal
Kolhapur,Pune,Kharif,2013,629.3,33.3,16.2,75.2,11,-1.3,-11,0,Deep Black Cotton,7.8,0.64,250.6,28.6,358.5,26.6,0.91,Jowar,-5,furrow,Hybrid,180.1,3,Onion,0.43,0.57,0.14,0,3,6,0,0,871.4,0.142,Low,normal
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2013,416.2,34.3,19.0,71.2,5,-14.6,-6,0,Medium Black,6.8,0.49,175.1,13.4,330.6,22.5,0.36,Soybean,7,sprinkler,BT,254.4,5,Tur Dal,0.37,0.81,0.44,0,2,18,0,1,1307.8,0.283,Medium,normal
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2013,494.7,37.4,15.2,80.6,8,1.5,-7,0,Medium Black,7.1,0.35,178.9,23.9,372.6,25.6,0.61,Cotton,4,canal,Desi,164.2,5,Soybean,0.4,0.55,0.15,2,5,2,0,0,337.6,0.281,Medium,normal
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2013,409.7,37.2,18.7,75.3,10,-16.0,-2,0,Medium Black,7.5,0.56,196.8,22.4,327.0,17.5,0.43,Tur Dal,9,furrow,HYV,277.0,3,Jowar,0.43,0.75,0.32,1,5,5,1,1,1049.7,0.672,High,normal
Chhatrapati Sambhajinagar,Aurangabad,Kharif,2013,408.8,34.2,16.9,69.0,5,-16.1,2,0,Medium Black,6.8,0.59,231.1,19.4,399.3,23.1,0.61,Jowar,-5,sprinkler,Desi,133.8,2,Tur Dal,0.32,0.66,0.34,0,0,0,1,0,1378.4,0.21,Low,normal
Jalna,Aurangabad,Kharif,2013,507.6,36.7,17.6,62.8,5,4.1,0,0,Medium Black,7.6,0.56,222.1,14.7,426.6,18.3,0.33,Soybean,-4,drip,BT,167.4,4,Grapes,0.3,0.75,0.45,0,5,2,0,0,1631.8,0.092,Low,normal
Jalna,Aurangabad,Kharif,2013,532.9,34.4,18.0,46.8,6,9.3,-5,0,Medium Black,6.7,0.56,205.0,14.2,272.5,16.4,0.65,Cotton,-1,canal,HYV,117.9,0,Soybean,0.42,0.82,0.4,2,5,14,0,0,359.7,0.449,Medium,normal
Jalna,Aurangabad,Kharif,2013,481.3,34.9,17.4,81.9,7,-1.3,-3,0,Medium Black,6.6,0.62,232.9,26.4,395.4,30.9,0.6,Tur Dal,2,canal,HYV,126.9,1,Rice,0.32,0.69,0.37,0,2,4,1,0,867.8,0.334,Medium,normal
Jalna,Aurangabad,Kharif,2013,427.8,34.8,17.9,69.6,4,-12.3,2,0,Medium Black,7.2,0.62,153.6,29.7,341.0,22.2,0.38,Jowar,2,rainfed,HYV,122.8,3,Cotton,0.39,0.52,0.13,1,3,1,1,1,1010.7,0.411,Medium,normal
Beed,Aurangabad,Kharif,2013,446.0,36.4,16.2,47.2,1,-8.5,2,0,Deep Black Cotton,7.9,0.49,209.1,32.1,499.8,26.4,0.43,Soybean,-13,rainfed,Hybrid,104.4,2,Tur Dal,0.36,0.69,0.33,0,5,1,0,0,1215.0,0.108,Low,normal
Beed,Aurangabad,Kharif,2013,420.0,35.9,17.2,64.7,7,-13.8,7,0,Medium Black,6.8,0.43,246.0,21.4,330.1,25.4,0.67,Cotton,-5,canal,BT,173.6,1,Soybean,0.27,0.84,0.57,0,3,4,0,0,421.0,0.055,Low,normal
Beed,Aurangabad,Kharif,2013,497.8,36.0,15.5,48.4,9,2.1,5,0,Medium Black,6.9,0.44,169.7,27.5,279.3,33.2,0.37,Tur Dal,0,rainfed,Desi,258.9,5,Grapes,0.31,0.79,0.48,0,7,5,0,0,974.8,0.164,Low,normal
Beed,Aurangabad,Kharif,2013,468.1,34.0,15.5,58.0,8,-4.0,1,0,Deep Black Cotton,7.4,0.51,247.3,15.4,451.1,25.3,0.58,Jowar,-7,rainfed,BT,212.7,0,Jowar,0.4,0.6,0.2,0,5,7,1,0,1016.0,0.383,Medium,normal
Latur,Aurangabad,Kharif,2013,436.2,35.7,17.9,70.0,8,-10.5,2,0,Deep Black Cotton,7.3,0.43,224.4,32.0,315.3,27.1,1.11,Soybean,-3,drip,Hybrid,85.4,2,Rice,0.48,0.83,0.35,0,12,7,1,1,1771.1,0.897,Critical,pest_outbreak
Latur,Aurangabad,Kharif,2013,544.0,37.2,15.8,54.5,8,11.6,5,0,Medium Black,7.2,0.47,247.7,22.5,423.4,34.1,0.61,Cotton,-3,furrow,Desi,175.2,2,Tur Dal,0.33,0.63,0.3,0,6,6,0,0,437.3,0.26,Medium,normal
Latur,Aurangabad,Kharif,2013,553.7,35.7,17.6,52.1,9,13.6,-4,0,Medium Black,6.8,0.53,191.8,15.0,280.8,29.1,0.78,Tur Dal,3,drip,BT,281.2,3,Onion,0.28,0.6,0.32,1,2,2,0,0,1084.8,0.139,Low,normal
Latur,Aurangabad,Kharif,2013,447.9,37.3,16.4,49.0,9,-8.1,-4,0,Deep Black Cotton,7.3,0.71,251.3,27.7,377.4,38.2,1.17,Jowar,-9,sprinkler,HYV,90.0,1,Soybean,0.4,0.68,0.28,0,6,0,0,0,1243.4,0.109,Low,normal
Dharashiv,Aurangabad,Kharif,2013,394.4,34.7,17.3,73.1,8,-19.1,-3,0,Deep Black Cotton,7.4,0.58,227.3,21.8,490.9,33.9,0.79,Soybean,-6,furrow,Hybrid,247.6,1,Sugarcane,0.36,0.53,0.17,0,5,13,0,0,1406.4,0.266,Medium,normal
Dharashiv,Aurangabad,Kharif,2013,537.9,34.8,17.2,77.2,9,10.3,7,0,Medium Black,6.9,0.49,159.3,12.8,272.3,18.7,0.5,Cotton,-6,rainfed,Desi,172.8,4,Tur Dal,0.39,0.7,0.31,2,1,18,0,0,325.5,0.398,Medium,normal
Dharashiv,Aurangabad,Kharif,2013,512.5,37.4,15.6,79.2,4,5.1,6,0,Deep Black Cotton,7.3,0.48,274.1,30.2,439.2,24.8,0.41,Tur Dal,-7,canal,Desi,104.1,1,Cotton,0.29,0.75,0.46,0,2,2,0,0,1128.3,0.019,Low,normal
Dharashiv,Aurangabad,Kharif,2013,493.2,34.0,16.4,60.9,6,1.2,0,0,Deep Black Cotton,7.3,0.51,189.5,21.9,307.3,23.7,0.97,Jowar,0,furrow,Hybrid,120.5,2,Rice,0.43,0.84,0.41,1,2,2,1,0,1248.6,0.45,Medium,normal
Nanded,Aurangabad,Kharif,2013,556.5,37.1,15.3,69.8,8,14.2,1,0,Deep Black Cotton,8.0,0.42,245.2,33.2,375.9,36.8,0.58,Soybean,9,canal,HYV,263.8,6,Jowar,0.44,0.54,0.1,0,7,1,0,0,1500.3,0.11,Low,normal
Nanded,Aurangabad,Kharif,2013,444.7,36.7,18.7,58.9,8,-8.8,-1,0,Deep Black Cotton,8.2,0.42,210.8,28.6,413.1,28.7,0.79,Cotton,2,sprinkler,Hybrid,160.1,4,Tur Dal,0.43,0.51,0.08,2,2,2,0,0,301.3,0.2,Low,normal
Nanded,Aurangabad,Kharif,2013,548.4,35.9,18.4,54.9,8,12.5,1,0,Deep Black Cotton,8.0,0.43,229.4,22.2,474.5,37.5,0.93,Tur Dal,6,furrow,BT,130.9,1,Rice,0.39,0.77,0.38,0,7,2,0,0,1146.6,0.189,Low,normal
Nanded,Aurangabad,Kharif,2013,500.3,36.8,18.1,80.8,8,2.6,-1,0,Medium Black,7.7,0.39,233.6,24.4,424.0,30.9,0.41,Jowar,9,rainfed,BT,230.9,3,Sugarcane,0.35,0.84,0.49,0,6,5,0,0,1225.7,0.164,Low,normal
Parbhani,Aurangabad,Kharif,2013,563.2,35.6,17.3,78.3,7,15.5,1,0,Deep Black Cotton,7.8,0.52,239.5,15.5,312.9,34.7,0.59,Soybean,-5,furrow,Hybrid,131.7,2,Onion,0.35,0.64,0.29,0,3,4,1,0,1497.7,0.263,Medium,normal
Parbhani,Aurangabad,Kharif,2013,581.6,37.5,17.3,49.5,9,19.3,6,0,Deep Black Cotton,7.6,0.68,202.6,28.1,332.8,21.1,0.41,Cotton,-2,rainfed,Desi,284.6,2,Onion,0.49,0.76,0.27,1,19,3,1,1,368.2,1.0,Critical,pest_outbreak
Parbhani,Aurangabad,Kharif,2013,470.2,35.0,15.5,79.3,8,-3.5,-1,0,Medium Black,7.6,0.46,188.1,16.7,258.9,20.4,0.23,Tur Dal,-9,rainfed,HYV,128.2,4,Jowar,0.28,0.75,0.47,2,5,3,0,0,804.4,0.395,Medium,normal
Parbhani,Aurangabad,Kharif,2013,484.4,37.3,18.8,54.2,9,-0.6,2,0,Deep Black Cotton,8.5,0.67,195.4,17.7,340.9,35.3,0.57,Jowar,-3,furrow,Desi,92.8,1,Grapes,0.39,0.59,0.2,0,2,1,0,1,1023.5,0.033,Low,normal
Hingoli,Aurangabad,Kharif,2013,418.9,35.5,17.7,54.1,7,-14.1,-1,0,Deep Black Cotton,7.2,0.46,265.4,26.8,474.7,35.8,0.91,Soybean,0,canal,Hybrid,276.4,2,Sugarcane,0.48,0.82,0.34,2,15,1,1,1,1166.6,1.0,Critical,pest_outbreak
Hingoli,Aurangabad,Kharif,2013,486.1,35.5,15.7,59.2,9,-0.3,-3,0,Medium Black,6.6,0.61,175.0,23.0,387.6,24.4,0.73,Cotton,7,furrow,BT,95.9,7,Onion,0.47,0.66,0.19,0,5,4,0,0,413.4,0.125,Low,normal
Hingoli,Aurangabad,Kharif,2013,538.8,34.7,17.5,48.4,9,10.5,7,0,Medium Black,7.7,0.69,199.4,28.9,250.2,32.9,0.39,Tur Dal,-5,furrow,BT,253.2,1,Cotton,0.29,0.8,0.51,1,18,3,1,1,851.9,1.0,Critical,pest_outbreak
Hingoli,Aurangabad,Kharif,2013,409.4,37.7,17.2,55.0,4,-16.0,-4,0,Deep Black Cotton,8.3,0.51,188.1,28.1,430.8,21.9,0.59,Jowar,-4,drip,Hybrid,228.8,2,Cotton,0.33,0.79,0.46,0,7,3,0,0,1266.7,0.226,Low,normal
Amravati,Amravati,Kharif,2013,622.2,38.0,14.8,67.7,10,3.7,-6,0,Medium Black,7.1,0.63,228.5,28.7,401.3,16.0,0.7,Soybean,-4,rainfed,HYV,247.7,7,Grapes,0.26,0.71,0.45,0,4,2,0,0,1518.7,0.086,Low,normal
Amravati,Amravati,Kharif,2013,683.9,36.2,17.3,49.9,7,14.0,4,0,Medium Black,7.1,0.33,153.5,20.4,329.7,17.7,0.61,Cotton,1,rainfed,BT,128.6,0,Onion,0.38,0.6,0.22,0,5,5,0,0,479.2,0.016,Low,normal
Akola,Amravati,Kharif,2013,513.5,37.3,17.9,48.9,7,-14.4,3,0,Deep Black Cotton,7.5,0.6,181.4,33.1,308.9,26.4,0.81,Soybean,-1,furrow,Desi,274.1,1,Soybean,0.48,0.59,0.11,0,1,6,0,0,1364.9,0.04,Low,normal
Akola,Amravati,Kharif,2013,489.3,35.1,15.8,55.1,7,-18.5,2,0,Deep Black Cotton,7.4,0.73,241.9,31.8,403.1,27.5,1.13,Cotton,2,drip,BT,90.8,2,Soybean,0.43,0.82,0.39,0,3,1,0,0,465.5,0.006,Low,normal
Washim,Amravati,Kharif,2013,489.3,35.1,17.3,68.7,8,-18.4,-2,0,Deep Black Cotton,8.0,0.7,182.3,34.2,368.9,23.8,1.07,Soybean,-1,rainfed,BT,293.6,3,Sugarcane,0.33,0.63,0.3,0,8,3,0,1,1220.0,0.353,Medium,normal
Washim,Amravati,Kharif,2013,644.4,35.1,17.6,58.5,7,7.4,-5,0,Deep Black Cotton,8.3,0.5,208.5,34.2,375.8,20.2,0.56,Cotton,0,sprinkler,Hybrid,96.0,1,Cotton,0.37,0.64,0.27,1,2,3,0,0,522.4,0.081,Low,normal
Buldhana,Amravati,Kharif,2013,715.6,38.3,17.6,55.2,4,19.3,-2,0,Deep Black Cotton,7.9,0.62,229.4,25.3,332.8,29.3,0.85,Soybean,4,furrow,HYV,259.3,4,Rice,0.29,0.51,0.22,0,9,0,1,1,844.3,0.579,High,normal
Buldhana,Amravati,Kharif,2013,543.7,36.3,16.2,53.0,4,-9.4,5,0,Deep Black Cotton,8.2,0.79,231.4,24.5,451.1,37.6,1.17,Cotton,5,sprinkler,Hybrid,140.6,2,Soybean,0.41,0.71,0.3,0,3,1,0,0,375.5,0.035,Low,normal
Yavatmal,Amravati,Kharif,2013,659.5,36.1,14.1,66.6,15,9.9,-7,0,Deep Black Cotton,7.3,0.52,228.6,23.4,321.2,38.8,0.34,Soybean,1,rainfed,Desi,93.9,1,Rice,0.28,0.66,0.38,0,4,6,0,0,1167.7,0.039,Low,normal
Yavatmal,Amravati,Kharif,2013,662.1,35.5,15.5,51.1,7,10.4,0,0,Medium Black,7.4,0.42,164.1,14.8,377.9,32.5,0.45,Cotton,2,rainfed,BT,263.1,6,Cotton,0.37,0.61,0.24,1,2,0,1,0,449.3,0.362,Medium,normal
Nagpur,Nagpur,Kharif,2013,906.0,37.3,15.3,48.5,6,15.1,2,0,Red Laterite,6.6,0.21,132.9,14.9,193.8,23.3,0.14,Soybean,0,canal,Hybrid,248.2,8,Grapes,0.35,0.75,0.4,0,1,6,0,0,1204.3,0.0,Low,normal
Nagpur,Nagpur,Kharif,2013,939.0,38.6,16.5,71.9,10,19.2,6,0,Deep Black Cotton,7.8,0.47,260.6,32.8,470.3,28.7,0.98,Cotton,-2,rainfed,Desi,275.9,4,Grapes,0.49,0.55,0.06,0,9,3,1,0,458.1,0.426,Medium,normal
Nagpur,Nagpur,Kharif,2013,928.9,36.2,16.6,58.7,5,18.0,0,0,Alluvial,7.1,0.94,276.4,33.2,333.5,29.0,0.48,Rice,-6,drip,HYV,295.2,2,Tur Dal,0.3,0.52,0.22,1,10,0,0,0,2487.8,0.27,Medium,normal
Wardha,Nagpur,Kharif,2013,675.9,36.7,13.8,55.7,7,-14.2,-6,0,Alluvial,6.5,0.63,297.1,39.1,274.0,36.8,0.55,Soybean,4,furrow,Desi,109.1,1,Tur Dal,0.45,0.77,0.32,0,0,7,0,0,1328.1,0.115,Low,normal
Wardha,Nagpur,Kharif,2013,814.9,38.9,14.7,83.0,6,3.5,-7,0,Deep Black Cotton,8.3,0.78,259.0,28.2,471.3,21.5,0.72,Cotton,10,rainfed,BT,250.6,3,Sugarcane,0.38,0.82,0.44,2,5,6,0,0,489.9,0.367,Medium,normal
Wardha,Nagpur,Kharif,2013,745.3,37.2,13.0,82.5,5,-5.4,2,0,Deep Black Cotton,7.1,0.42,223.0,16.3,457.8,30.6,0.33,Rice,0,rainfed,Hybrid,169.6,2,Sugarcane,0.4,0.72,0.32,1,3,7,0,1,2674.6,0.395,Medium,normal
Chandrapur,Nagpur,Kharif,2013,749.9,39.1,15.8,46.8,4,-4.8,6,0,Deep Black Cotton,7.5,0.56,260.4,32.7,349.7,36.7,0.71,Soybean,-4,sprinkler,BT,276.7,4,Grapes,0.29,0.8,0.51,0,10,7,0,0,1132.8,0.217,Low,normal
Chandrapur,Nagpur,Kharif,2013,942.8,39.3,16.4,73.2,4,19.7,0,0,Alluvial,7.0,0.81,209.3,35.7,227.9,28.4,0.55,Cotton,-10,drip,BT,96.1,1,Soybean,0.28,0.58,0.3,0,8,1,0,0,436.8,0.2,Low,normal
Chandrapur,Nagpur,Kharif,2013,928.6,38.6,16.0,78.8,2,17.9,4,0,Red Laterite,6.7,0.34,213.2,16.8,269.5,24.1,0.14,Rice,-5,sprinkler,Desi,269.0,1,Jowar,0.49,0.65,0.16,3,0,6,0,0,2383.9,0.426,Medium,normal
Gadchiroli,Nagpur,Kharif,2013,648.9,38.0,16.1,51.8,7,-17.6,-13,0,Alluvial,6.8,0.72,281.6,34.6,234.8,31.3,0.56,Soybean,0,rainfed,Desi,169.6,3,Sugarcane,0.46,0.77,0.31,0,5,2,0,0,1324.6,0.151,Low,normal
Gadchiroli,Nagpur,Kharif,2013,751.8,39.1,16.5,76.5,4,-4.5,0,0,Alluvial,6.5,0.68,250.3,35.1,271.0,39.7,0.27,Cotton,-1,canal,Desi,266.5,5,Rice,0.5,0.64,0.14,1,3,6,1,0,456.2,0.442,Medium,normal
Gadchiroli,Nagpur,Kharif,2013,853.2,37.6,16.4,75.5,11,8.3,6,0,Red Laterite,5.6,0.53,124.5,17.1,170.3,15.1,0.37,Rice,-8,furrow,HYV,140.1,6,Cotton,0.49,0.75,0.26,0,7,2,0,0,2437.5,0.128,Low,normal
Gondia,Nagpur,Kharif,2013,639.2,36.1,15.1,66.8,7,-18.8,1,0,Red Laterite,6.5,0.27,123.7,10.6,242.4,18.5,0.45,Soybean,-1,furrow,Desi,230.2,3,Grapes,0.44,0.83,0.39,0,3,1,0,1,1634.9,0.175,Low,normal
Gondia,Nagpur,Kharif,2013,694.1,38.6,17.0,45.5,7,-11.9,-2,0,Alluvial,7.1,0.87,263.9,31.7,397.6,28.8,0.23,Cotton,1,furrow,Desi,135.2,7,Sugarcane,0.39,0.55,0.16,0,4,1,0,1,444.6,0.184,Low,normal
Gondia,Nagpur,Kharif,2013,836.6,39.7,14.0,83.5,10,6.2,2,0,Red Laterite,5.5,0.43,208.4,8.2,184.8,26.8,0.24,Rice,3,furrow,Hybrid,236.7,4,Onion,0.46,0.76,0.3,0,4,7,1,1,2223.1,0.5,High,normal
Bhandara,Nagpur,Kharif,2013,874.1,39.0,15.2,48.9,8,11.0,4,0,Deep Black Cotton,8.4,0.49,198.9,27.3,455.9,31.3,0.51,Soybean,0,drip,Desi,293.6,3,Jowar,0.35,0.82,0.47,0,3,3,0,0,1420.3,0.105,Low,normal
Bhandara,Nagpur,Kharif,2013,889.5,36.8,14.9,66.8,13,12.9,-6,0,Red Laterite,6.5,0.51,156.5,21.8,215.0,18.4,0.43,Cotton,3,rainfed,Desi,158.1,4,Onion,0.46,0.6,0.14,0,6,5,0,0,414.0,0.105,Low,normal
Bhandara,Nagpur,Kharif,2013,691.2,37.7,14.5,78.2,5,-12.2,-1,0,Red Laterite,5.8,0.43,166.7,13.9,262.4,19.0,0.13,Rice,-1,drip,HYV,277.1,2,Sugarcane,0.25,0.65,0.4,0,10,1,0,0,2305.1,0.215,Low,normal
Mumbai City,Konkan,Kharif,2014,2105.5,29.1,18.3,86.4,9,0.3,5,0,Laterite,5.0,0.43,152.9,8.2,180.3,26.6,0.37,Rice,15,furrow,Desi,95.8,6,Soybean,0.49,0.75,0.26,2,1,3,0,0,2614.6,0.207,Low,normal
Mumbai Suburban,Konkan,Kharif,2014,1959.4,29.5,21.2,95.0,10,-6.7,8,0,Laterite,5.7,0.4,146.3,5.6,183.8,25.9,0.16,Rice,5,sprinkler,HYV,197.3,3,Rice,0.44,0.73,0.29,2,7,6,0,0,2269.4,0.407,Medium,normal
Thane,Konkan,Kharif,2014,2253.7,30.0,20.0,95.0,4,7.3,0,0,Laterite,6.2,0.6,229.1,8.4,109.4,15.6,0.31,Rice,14,rainfed,HYV,122.4,3,Cotton,0.28,0.69,0.41,1,20,1,1,1,1743.9,1.0,Critical,pest_outbreak
Palghar,Konkan,Kharif,2014,2291.3,31.7,21.6,85.8,5,9.1,-2,0,Alluvial,6.9,0.61,259.5,37.1,355.2,21.7,0.56,Rice,0,furrow,Desi,87.0,3,Grapes,0.29,0.53,0.24,0,5,1,0,0,2205.8,0.125,Low,normal
Raigad,Konkan,Kharif,2014,2462.7,31.1,18.2,88.6,5,17.3,-6,0,Alluvial,6.7,0.73,215.1,27.8,314.0,32.1,0.35,Rice,1,furrow,Hybrid,188.1,3,Rice,0.5,0.64,0.14,0,22,1,1,1,2004.2,0.946,Critical,pest_outbreak
Ratnagiri,Konkan,Kharif,2014,2148.8,30.8,18.3,92.1,7,2.3,0,0,Alluvial,6.5,0.71,273.1,22.2,254.7,32.8,0.39,Rice,-1,sprinkler,Hybrid,277.5,5,Grapes,0.45,0.75,0.3,2,7,5,1,0,2885.7,0.54,High,normal
Sindhudurg,Konkan,Kharif,2014,2481.7,29.8,20.0,95.0,7,18.2,-4,0,Laterite,5.6,0.73,168.7,9.5,249.7,24.6,0.34,Rice,-2,rainfed,Desi,237.1,2,Onion,0.39,0.56,0.17,0,0,1,0,0,2130.8,0.048,Low,normal
Nashik,Nashik,Rabi,2014,92.5,31.2,12.3,57.9,6,-11.9,0,0,Medium Black,6.7,0.5,190.1,26.3,402.7,17.7,0.25,Onion,4,rainfed,Hybrid,144.2,3,Cotton,0.27,0.58,0.31,5,12,1,1,1,10125.0,0.976,Critical,pest_outbreak
Nashik,Nashik,Year-Round,2014,61.2,39.5,22.7,38.5,5,-12.5,0,0,Medium Black,7.0,0.61,241.2,24.8,334.6,16.3,0.69,Grapes,0,sprinkler,BT,193.7,5,Soybean,0.39,0.54,0.15,0,6,7,1,0,18374.0,0.352,Medium,normal
Ahmednagar,Nashik,Rabi,2014,115.0,32.2,12.6,40.8,8,9.5,0,3,Red,6.6,0.41,191.3,16.6,299.7,15.2,0.43,Onion,5,furrow,Hybrid,232.2,2,Rice,0.5,0.67,0.17,1,20,0,1,1,12319.3,1.0,Critical,pest_outbreak
Ahmednagar,Nashik,Year-Round,2014,57.9,41.0,21.8,26.5,3,-17.3,0,0,Medium Black,7.0,0.46,198.5,24.0,323.9,19.3,0.73,Grapes,0,rainfed,Hybrid,221.7,3,Soybean,0.3,0.82,0.52,0,8,2,0,0,18428.5,0.097,Low,normal
Dhule,Nashik,Rabi,2014,90.4,29.6,15.0,25.9,6,-13.9,0,4,Medium Black,6.9,0.65,154.9,14.5,266.5,31.9,0.21,Onion,-6,rainfed,Desi,127.1,3,Grapes,0.37,0.51,0.14,4,23,14,1,1,8786.6,1.0,Critical,pest_outbreak
Dhule,Nashik,Year-Round,2014,63.0,38.9,22.6,26.0,10,-9.9,0,0,Medium Black,7.5,0.56,173.2,19.9,421.0,18.6,0.52,Grapes,-4,drip,BT,147.6,3,Soybean,0.28,0.62,0.34,1,4,4,0,0,23043.2,0.223,Low,normal
Nandurbar,Nashik,Rabi,2014,85.7,32.5,11.3,59.7,10,-18.4,0,3,Medium Black,7.2,0.4,248.9,21.0,288.8,24.5,0.72,Onion,-6,rainfed,BT,280.0,8,Onion,0.27,0.68,0.41,0,5,7,0,0,12920.4,0.097,Low,normal
Nandurbar,Nashik,Year-Round,2014,73.2,39.9,21.9,52.6,6,4.6,0,0,Red,6.4,0.34,135.5,11.6,243.1,16.4,0.46,Grapes,4,furrow,Hybrid,248.5,2,Jowar,0.28,0.62,0.34,1,5,2,0,0,17274.1,0.251,Medium,normal
Jalgaon,Nashik,Rabi,2014,118.3,31.8,11.2,61.2,10,12.7,0,4,Red,5.9,0.21,179.5,17.0,250.6,19.7,0.2,Onion,-9,drip,HYV,174.0,5,Onion,0.3,0.78,0.48,0,4,4,0,0,14035.8,0.087,Low,normal
