district,division,season,year,rainfall_mm_seasonal,temp_max_avg_C,temp_min_avg_C,humidity_avg_pct,dry_spell_days,rainfall_deviation_pct,onset_monsoon_deviation_days,fog_days,soil_type,soil_pH,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,ec_dS_m,crop_name,sowing_date_deviation,irrigation_type,seed_variety,fertilizer_kg_ha,pesticide_applications,previous_crop,ndvi_sowing,ndvi_peak,ndvi_delta,ndvi_stress_weeks,humidity_streak_days,temp_disease_window,prev_season_disease,pest_alert_issued,yield_kg_per_hectare,disease_risk_score,disease_risk_label,scenario,rainfall_adequacy_ratio,growing_degree_days,vapour_pressure_deficit,soil_crop_suitability_score,irrigation_efficiency_score,pest_pressure_index,yield_lag_1yr,ndvi_anomaly,crop_name_encoded,irrigation_type_encoded,seed_variety_encoded,previous_crop_encoded,season_encoded,soil_type_Deep Black Cotton,soil_type_Laterite,soil_type_Medium Black,soil_type_Red,soil_type_Red Laterite,division_Aurangabad,division_Konkan,division_Nagpur,division_Nashik,division_Pune
Latur,Aurangabad,Kharif,2012,-0.5272038503331644,0.4269626395795655,-0.4509383575776941,-0.567596084910022,1.9230633273526576,-1.1859980343426813,0.9175086272795561,-0.20729425193692047,Medium Black,7.1,0.61,244.8,18.4,300.0,27.3,0.5,Jowar,0,drip,Hybrid,246.1,3,Jowar,0.5142857142857145,0.23636363636363633,0.22580645161290325,0.0,5,1,1,0,812.1,0.336,Medium,drought,0.692,1956.0,2.817,1.0,1.0,0.167,947.9,-0.178,2,1,3,2,0,False,False,True,False,False,True,False,False,False,False
Dharashiv,Aurangabad,Kharif,2012,-0.5267741559667373,0.12981748957216016,0.741464525990947,0.6493052115238236,1.9230633273526576,-1.1831046728267665,-0.25753405913769367,-0.20729425193692047,Deep Black Cotton,8.1,0.61,238.6,18.6,447.0,23.8,0.4,Soybean,1,furrow,HYV,122.7,4,Jowar,0.2571428571428572,0.290909090909091,0.41935483870967744,0.2,4,7,0,0,790.1,0.28,Medium,drought,0.616,2076.0,1.472,0.8,0.65,0.933,989.4,-0.15,5,2,2,2,0,True,False,False,False,False,True,False,False,False,False
Dharashiv,Aurangabad,Kharif,2012,-0.5683112780546936,0.6498215020851208,-0.2380092712261502,-0.06651908049608565,1.649113427679109,-1.356706363781652,1.622534239129906,-0.20729425193692047,Medium Black,7.2,0.35,202.7,19.1,286.1,31.8,0.21,Cotton,-1,drip,BT,191.8,3,Sugarcane,0.5142857142857145,0.290909090909091,0.2741935483870968,0.2,3,1,0,1,179.8,0.383,Medium,drought,0.355,2022.0,2.366,0.9,1.0,0.1,308.0,-0.15,0,1,0,6,0,False,False,True,False,False,True,False,False,False,False
Dharashiv,Aurangabad,Kharif,2012,-0.43739772774989333,0.46410578333049185,-0.2380092712261502,0.8461568918292984,2.1970132270262064,-0.8127543987896768,-0.9625596709880434,-0.20729425193692047,Deep Black Cotton,8.1,0.43,277.2,15.3,420.3,31.3,0.42,Tur Dal,2,sprinkler,HYV,178.7,2,Onion,0.028571428571428636,0.3090909090909091,0.5645161290322581,0.6000000000000001,3,2,0,0,745.4,0.422,Medium,drought,0.849,1992.0,1.338,0.7,0.85,0.2,766.5,-0.14,7,4,2,3,0,True,False,False,False,False,True,False,False,False,False
Dharashiv,Aurangabad,Kharif,2012,-0.53536804329528,-0.16732766043524783,0.1026772669363176,0.47631434095234515,2.7449130263733035,-1.2207183725336583,0.9175086272795561,-0.20729425193692047,Deep Black Cotton,7.2,0.4,255.3,17.1,316.5,20.1,0.69,Jowar,11,sprinkler,BT,156.7,3,Cotton,0.028571428571428636,0.21818181818181814,0.48387096774193555,0.2,5,4,1,1,532.6,0.584,High,drought,0.678,1938.0,1.575,0.9,0.85,0.667,1084.1,-0.19,2,4,0,0,0,True,False,False,False,False,True,False,False,False,False
Nanded,Aurangabad,Kharif,2012,-0.4409785141367861,-0.24161394793709784,0.6988787087206393,-0.6511089189790114,3.018862926046852,-0.8272212063692507,-0.4925425964211436,-0.20729425193692047,Deep Black Cotton,7.1,0.8,274.9,16.6,486.7,27.3,1.06,Soybean,-10,furrow,BT,212.9,2,Sugarcane,0.11428571428571438,0.1636363636363637,0.38709677419354843,0.2,2,3,0,0,627.9,0.235,Low,drought,0.749,2010.0,2.632,1.0,0.65,0.2,1359.1,-0.204,5,2,0,6,0,True,False,False,False,False,True,False,False,False,False
Nanded,Aurangabad,Kharif,2012,-0.4593121404376772,-0.2787570916880242,0.14526308420662684,0.708957235858816,2.060038277189432,-0.9053419672989492,1.387525701846456,-0.20729425193692047,Deep Black Cotton,8.3,0.6,262.5,23.0,320.5,21.2,0.35,Cotton,-7,rainfed,HYV,135.5,3,Rice,0.08571428571428569,0.4363636363636364,0.6451612903225807,0.2,1,6,0,0,123.0,0.179,Low,drought,0.463,1926.0,1.329,0.7,0.4,0.2,443.4,-0.054,0,3,2,4,0,True,False,False,False,False,True,False,False,False,False
Nanded,Aurangabad,Kharif,2012,-0.47163004560858834,0.35267635207771286,-0.4509383575776941,1.013182559967277,0.2793639293113659,-0.9545291130695003,-0.02252552185424372,-0.20729425193692047,Deep Black Cotton,7.3,0.42,245.4,30.5,462.8,29.9,0.48,Tur Dal,4,rainfed,HYV,182.9,5,Cotton,0.39999999999999997,0.09090909090909094,0.16129032258064518,0.2,9,4,0,0,326.5,0.243,Low,drought,0.79,1944.0,1.142,0.9,0.4,1.2,885.4,-0.244,7,3,2,0,0,True,False,False,False,False,True,False,False,False,False
Nanded,Aurangabad,Kharif,2012,-0.47778899819404397,-0.24161394793709784,0.8692219778018732,-0.5139092630085289,3.1558378758836265,-0.9805693667127331,-0.25753405913769367,-0.20729425193692047,Medium Black,7.5,0.51,209.0,15.6,307.5,18.2,0.35,Jowar,0,canal,Desi,278.5,5,Jowar,0.17142857142857143,0.34545454545454546,0.5161290322580646,0.0,0,6,1,0,706.4,0.239,Low,drought,0.779,2034.0,2.501,0.8,0.6,0.0,967.7,-0.104,2,0,1,2,0,False,False,True,False,False,True,False,False,False,False
Parbhani,Aurangabad,Kharif,2012,-0.5206152033812816,-0.05589822918246885,0.017505632395700646,-0.836030194417488,2.1970132270262064,-1.1570644191835335,-0.02252552185424372,-0.20729425193692047,Deep Black Cotton,7.4,0.55,263.6,34.3,387.7,27.9,1.06,Soybean,2,furrow,BT,278.1,2,Tur Dal,0.45714285714285713,0.09090909090909094,0.12903225806451615,0.4,0,6,0,0,598.2,0.218,Low,drought,0.626,1944.0,2.887,0.9,0.65,0.0,1423.2,-0.249,5,2,0,7,0,True,False,False,False,False,True,False,False,False,False
Parbhani,Aurangabad,Kharif,2012,-0.5077243723884677,-0.6501885291972822,0.5285354396394039,-0.9970906601219678,1.5121384778423346,-1.1049839118970677,-0.7275511337045936,-0.20729425193692047,Deep Black Cotton,7.3,0.47,192.6,17.8,449.6,29.4,1.0,Cotton,3,canal,HYV,216.8,4,Sugarcane,0.14285714285714296,0.3090909090909091,0.5000000000000001,0.4,9,11,0,1,193.1,0.615,High,drought,0.415,1920.0,2.787,0.9,0.6,3.3,323.9,-0.129,0,0,2,6,0,True,False,False,False,False,True,False,False,False,False
Parbhani,Aurangabad,Kharif,2012,-0.543818699168347,-0.3159002354389505,-0.5786958093886195,-1.003055862555467,1.9230633273526576,-1.2554387107246354,1.387525701846456,-0.20729425193692047,Medium Black,6.8,0.55,226.1,29.7,286.1,30.3,0.4,Tur Dal,4,sprinkler,BT,229.9,3,Onion,0.3428571428571429,0.1636363636363637,0.25806451612903225,0.6000000000000001,4,0,0,0,491.3,0.376,Medium,drought,0.664,1818.0,2.935,0.9,0.85,0.0,934.2,-0.209,7,4,0,3,0,False,False,True,False,False,True,False,False,False,False
Parbhani,Aurangabad,Kharif,2012,-0.5727514531744407,0.05553120207030749,0.48594962236909617,0.9058089161642909,2.7449130263733035,-1.3740665328771406,-1.902593820121843,-0.20729425193692047,Medium Black,7.5,0.55,248.6,21.6,272.6,31.6,0.35,Jowar,3,furrow,Hybrid,140.4,8,Soybean,0.3714285714285715,0.18181818181818188,0.25806451612903225,0.2,9,0,0,1,538.9,0.43,Medium,drought,0.613,2028.0,1.2,0.9,0.65,0.0,1319.4,-0.199,2,2,3,5,0,False,False,True,False,False,True,False,False,False,False
Hingoli,Aurangabad,Kharif,2012,-0.4729191287078698,0.46410578333049185,-0.025080184874607076,0.7924700699278058,0.9642386784952375,-0.9603158361013298,1.8575427764133559,-0.20729425193692047,Deep Black Cotton,8.3,0.59,187.9,26.2,366.4,23.1,1.06,Soybean,1,furrow,HYV,226.4,4,Sugarcane,0.08571428571428569,0.12727272727272732,0.3709677419354839,0.2,6,2,0,0,535.2,0.246,Low,drought,0.7,2022.0,1.394,0.4,0.65,0.4,1297.8,-0.246,5,2,2,6,0,True,False,False,False,False,True,False,False,False,False
Hingoli,Aurangabad,Kharif,2012,-0.5157453338951075,0.16696063332308383,0.9543936123424902,-0.6511089189790114,0.9642386784952375,-1.1368108885721302,1.8575427764133559,-0.20729425193692047,Deep Black Cotton,8.2,0.69,253.0,17.0,443.6,33.6,1.05,Cotton,-5,canal,HYV,155.6,5,Jowar,0.05714285714285722,0.2727272727272727,0.5161290322580646,0.4,3,3,0,0,163.7,0.263,Medium,drought,0.407,2112.0,2.796,0.8,0.6,0.3,302.7,-0.166,0,0,2,2,0,True,False,False,False,False,True,False,False,False,False
Hingoli,Aurangabad,Kharif,2012,-0.4903933662759066,0.24124692082493648,-0.32318090576676795,0.21384543387837895,3.1558378758836265,-1.0326498739991987,0.44749155271265617,-0.20729425193692047,Deep Black Cotton,7.1,0.4,246.1,20.8,350.7,26.6,0.54,Tur Dal,4,furrow,Desi,205.2,5,Cotton,0.42857142857142855,0.3090909090909091,0.33870967741935487,0.2,3,4,0,0,579.7,0.163,Low,drought,0.757,1944.0,1.942,0.9,0.65,0.4,825.3,-0.146,7,2,1,0,0,True,False,False,False,False,True,False,False,False,False
Hingoli,Aurangabad,Kharif,2012,-0.4701977310538312,-0.20447080418617417,0.273020536017553,0.8163308796618022,1.9230633273526576,-0.9487423900376707,0.21248301542920622,-0.20729425193692047,Medium Black,7.6,0.52,182.5,17.3,256.7,31.3,0.47,Jowar,-1,rainfed,Hybrid,263.7,2,Sugarcane,0.11428571428571438,0.1636363636363637,0.38709677419354843,0.2,0,6,0,0,481.1,0.146,Low,drought,0.792,1956.0,1.24,0.7,0.4,0.0,1282.0,-0.226,2,3,3,6,0,False,False,True,False,False,True,False,False,False,False
Amravati,Amravati,Kharif,2012,-0.36306060235799903,0.9841097958434525,0.1026772669363176,1.0430085721347733,1.5121384778423346,-0.9400623054899265,-0.25753405913769367,-0.20729425193692047,Medium Black,7.3,0.6,243.6,22.6,252.4,15.7,0.62,Soybean,-1,sprinkler,Hybrid,223.9,1,Soybean,0.5714285714285714,0.2727272727272727,0.22580645161290325,0.4,8,7,0,1,917.9,0.532,High,drought,0.87,2124.0,1.218,0.8,0.85,1.867,1507.8,-0.164,5,4,3,5,0,False,False,True,False,False,False,False,False,False,False
Amravati,Amravati,Kharif,2012,-0.47420821180715117,-0.3159002354389505,0.14526308420662684,1.1802082281052566,3.018862926046852,-1.3161993025588454,2.562568388263706,-0.20729425193692047,Medium Black,6.7,0.54,220.3,20.1,298.7,32.5,0.65,Cotton,-1,drip,BT,124.6,1,Soybean,0.5142857142857145,0.018181818181818188,0.03225806451612904,0.4,3,19,0,0,164.3,0.496,Medium,drought,0.449,1920.0,0.877,0.9,1.0,1.9,359.0,-0.304,0,1,0,5,0,False,False,True,False,False,False,False,False,False,False
Akola,Amravati,Kharif,2012,-0.43438986718490336,0.9469666520925262,0.273020536017553,-0.2574055583680616,2.7449130263733035,-1.1802113113108517,-0.02252552185424372,-0.20729425193692047,Deep Black Cotton,7.9,0.58,235.6,20.7,304.8,32.5,0.53,Soybean,-8,canal,Hybrid,214.8,2,Soybean,0.39999999999999997,0.290909090909091,0.33870967741935487,0.0,2,3,0,0,757.2,0.063,Low,drought,0.76,2142.0,2.687,0.7,0.6,0.2,1228.5,-0.141,5,0,3,5,0,True,False,False,False,False,False,False,False,False,False
Akola,Amravati,Kharif,2012,-0.3868370239669672,0.6498215020851208,-0.15283763668553327,0.14822820710988677,2.1970132270262064,-1.0210764279355398,-1.1975682082714934,-0.20729425193692047,Medium Black,6.7,0.49,199.5,20.8,357.8,20.2,0.42,Cotton,-5,furrow,HYV,215.5,3,Onion,0.2285714285714286,0.19999999999999996,0.3548387096774194,0.4,4,3,0,0,159.7,0.356,Medium,drought,0.536,2034.0,2.133,0.9,0.65,0.4,325.0,-0.191,0,2,2,3,0,False,False,True,False,False,False,False,False,False,False
Washim,Amravati,Kharif,2012,-0.37566497043986163,0.6126783583341945,0.1026772669363176,0.4524535312183487,2.470963126699755,-0.9834627282286479,-1.6675852828383932,-0.20729425193692047,Medium Black,7.4,0.33,196.1,25.4,447.2,28.3,0.35,Soybean,4,rainfed,BT,117.9,2,Soybean,0.39999999999999997,0.290909090909091,0.33870967741935487,0.4,6,7,1,1,845.0,0.726,High,drought,0.851,2064.0,1.792,0.9,0.4,1.4,1698.7,-0.136,5,3,0,5,0,False,False,True,False,False,False,False,False,False,False
Washim,Amravati,Kharif,2012,-0.4656143244786085,-0.16732766043524783,0.017505632395700646,0.5598271750213349,2.470963126699755,-1.287265687399698,2.0925513136968057,-0.20729425193692047,Medium Black,7.0,0.45,208.9,23.7,340.3,34.4,0.25,Cotton,-4,drip,BT,200.1,2,Grapes,0.28571428571428575,0.054545454545454564,0.19354838709677424,0.2,0,2,1,1,188.2,0.499,Medium,drought,0.457,1926.0,1.495,0.9,1.0,0.0,429.9,-0.266,0,1,0,1,0,False,False,True,False,False,False,False,False,False,False
Buldhana,Amravati,Kharif,2012,-0.4537261136741244,0.4269626395795655,0.35819217055817,-0.9672646479544715,2.881887976210078,-1.246758626176891,-2.372610894688743,-0.20729425193692047,Medium Black,7.5,0.59,199.7,12.7,366.9,16.0,0.56,Soybean,-4,rainfed,Hybrid,170.1,3,Soybean,0.39999999999999997,0.07272727272727275,0.14516129032258068,0.4,7,6,0,0,556.6,0.394,Medium,drought,0.73,2070.0,3.238,0.8,0.4,1.4,1703.2,-0.269,5,3,3,5,0,False,False,True,False,False,False,False,False,False,False
Buldhana,Amravati,Kharif,2012,-0.46776279631074413,0.9469666520925262,0.4007779878284792,0.786504867494306,1.9230633273526576,-1.2930524104315273,1.622534239129906,-0.20729425193692047,Deep Black Cotton,7.3,0.56,274.0,23.5,410.9,21.6,1.01,Cotton,6,sprinkler,Hybrid,86.3,1,Cotton,0.45714285714285713,0.1454545454545455,0.17741935483870971,0.2,3,2,0,0,163.8,0.22,Low,drought,0.455,2160.0,1.503,0.9,0.85,0.2,356.8,-0.229,0,4,3,0,0,True,False,False,False,False,False,False,False,False,False
Yavatmal,Amravati,Kharif,2012,-0.42507982257898214,0.5383920708323419,-0.8767965302807804,0.5121055555533411,2.607938076536529,-1.151277696151704,-0.9625596709880434,-0.20729425193692047,Medium Black,7.5,0.54,155.8,26.0,326.6,21.6,0.47,Soybean,-1,furrow,Hybrid,212.3,4,Rice,0.3428571428571429,0.290909090909091,0.3709677419354839,0.0,7,5,1,0,666.5,0.276,Medium,drought,0.774,1914.0,1.709,0.9,0.65,1.167,1335.7,-0.164,5,2,3,4,0,False,False,True,False,False,False,False,False,False,False
Yavatmal,Amravati,Kharif,2012,-0.4909662920978094,-0.09304137293339518,-0.6212816266589287,0.18998462414438164,3.1558378758836265,-1.3711731713612259,-0.9625596709880434,-0.20729425193692047,Medium Black,6.9,0.36,169.6,29.5,280.6,20.4,0.55,Cotton,-5,rainfed,Hybrid,289.1,1,Onion,0.4857142857142858,0.3090909090909091,0.3064516129032258,0.0,6,1,0,0,163.5,0.059,Low,drought,0.432,1848.0,1.871,0.9,0.4,0.2,318.1,-0.154,0,3,3,3,0,False,False,True,False,False,False,False,False,False,False
Nagpur,Nagpur,Kharif,2012,0.33075256796634744,1.3183980896017842,-1.0045539820917058,1.0787997867357693,-0.8164356693828286,0.38799063031494924,0.9175086272795561,-0.20729425193692047,Alluvial,7.2,0.63,252.0,21.2,364.6,38.6,0.45,Soybean,0,furrow,Hybrid,138.7,8,Grapes,0.4857142857142858,0.5272727272727271,0.5000000000000001,0.0,1,0,0,0,1202.0,0.018,Low,normal,1.947,2022.0,1.236,1.0,0.65,0.0,1190.3,-0.08,5,2,3,1,0,False,False,False,False,False,False,False,True,False,False
Nagpur,Nagpur,Kharif,2012,0.40351414734800883,0.31553320832678916,-1.3878263375244837,-1.0328818747229633,0.2793639293113659,0.5760591288494088,-0.25753405913769367,-0.20729425193692047,Deep Black Cotton,7.4,0.42,264.9,15.2,487.4,32.6,0.59,Cotton,-2,canal,BT,192.1,4,Grapes,0.8,0.5636363636363637,0.3548387096774194,0.2,3,5,0,0,445.9,0.184,Low,normal,1.324,1806.0,3.253,0.9,0.6,0.5,471.9,-0.06,0,0,0,1,0,True,False,False,False,False,False,False,True,False,False
Nagpur,Nagpur,Kharif,2012,0.12593158663608,0.7241077895869709,-0.4509383575776941,0.15419340954338653,0.14238897947459156,-0.13570780406562263,0.9175086272795561,-0.20729425193692047,Deep Black Cotton,7.6,0.52,259.6,21.7,300.6,39.2,0.83,Rice,3,rainfed,Hybrid,214.7,7,Tur Dal,0.6857142857142857,0.6545454545454545,0.5000000000000001,0.0,3,0,1,0,2174.5,0.159,Low,normal,0.611,2004.0,2.15,0.7,0.4,0.0,2092.4,-0.01,4,3,3,7,0,True,False,False,False,False,False,False,True,False,False
Wardha,Nagpur,Kharif,2012,0.06434206078152405,1.4669706646054868,-0.6638674439292372,1.508294361947715,-0.4055108198725057,-0.29484268744093456,0.6825000899961061,-0.20729425193692047,Red Laterite,5.9,0.38,185.3,20.0,165.9,14.9,0.25,Soybean,-1,sprinkler,HYV,277.0,4,Soybean,0.6285714285714286,0.38181818181818183,0.29032258064516137,0.2,20,0,1,1,1128.3,0.929,Critical,pest_outbreak,1.533,2094.0,0.737,0.6,0.85,0.0,1033.4,-0.179,5,4,2,5,0,False,False,False,False,True,False,False,True,False,False
Wardha,Nagpur,Kharif,2012,0.12979883593392427,0.5383920708323419,0.017505632395700646,-0.048623473195588095,-0.4055108198725057,-0.1270277195178783,0.21248301542920622,-0.20729425193692047,Red Laterite,6.7,0.55,133.5,10.4,177.2,16.7,0.35,Cotton,4,furrow,Hybrid,187.5,3,Cotton,0.5428571428571429,0.9818181818181817,0.870967741935484,0.0,6,2,1,0,544.2,0.333,Medium,normal,1.051,2040.0,2.309,0.8,0.65,0.4,388.4,0.151,0,2,3,0,0,False,False,False,False,True,False,False,True,False,False
Wardha,Nagpur,Kharif,2012,0.40480323044729033,0.3898194958286392,-1.4304121547947921,1.2219646451397506,0.5533138289849145,0.5789524903653236,-0.02252552185424372,-0.20729425193692047,Red Laterite,6.0,0.46,145.9,9.0,186.2,19.4,0.2,Rice,5,rainfed,HYV,119.9,0,Tur Dal,0.5999999999999999,0.8181818181818181,0.6935483870967744,0.0,5,1,0,0,2272.1,0.031,Low,normal,0.773,1812.0,0.93,0.8,0.4,0.167,2252.3,0.061,4,3,2,7,0,False,False,False,False,True,False,False,True,False,False
Chandrapur,Nagpur,Kharif,2012,0.11762416221848879,1.5412569521073396,-1.4729979720651014,-0.8240997895504898,-0.8164356693828286,-0.1588546961929407,-0.4925425964211436,-0.20729425193692047,Deep Black Cotton,8.1,0.55,198.4,23.9,333.1,39.6,0.39,Soybean,8,furrow,HYV,100.7,3,Soybean,0.9714285714285713,0.38181818181818183,0.09677419354838712,0.0,8,1,0,0,913.0,0.187,Low,normal,1.616,1992.0,3.629,0.7,0.65,0.267,1389.4,-0.16,5,2,2,5,0,True,False,False,False,False,False,False,True,False,False
Chandrapur,Nagpur,Kharif,2012,0.3790215684616623,1.0955392270962288,-0.8767965302807804,-0.16792752186557297,-0.26853587003573137,0.512405175499284,-0.02252552185424372,-0.20729425193692047,Deep Black Cotton,7.7,0.56,241.1,15.9,450.4,21.6,0.89,Cotton,7,drip,Hybrid,270.9,1,Grapes,0.8,0.5636363636363637,0.3548387096774194,0.2,4,7,0,0,420.3,0.198,Low,normal,1.3,2004.0,2.642,0.9,1.0,0.933,444.4,-0.06,0,1,3,1,0,True,False,False,False,False,False,False,True,False,False
Chandrapur,Nagpur,Kharif,2012,0.03139882602211041,1.4669706646054868,-1.1748972511729405,1.514259564381214,-1.0903855690563773,-0.3787501714024626,-0.9625596709880434,-0.20729425193692047,Deep Black Cotton,7.3,0.4,210.1,30.0,458.8,24.0,1.16,Rice,4,rainfed,HYV,227.3,5,Jowar,0.8571428571428572,0.4545454545454546,0.22580645161290325,0.0,5,2,0,0,1536.1,0.118,Low,normal,0.556,2022.0,0.73,0.7,0.4,0.333,2504.3,-0.12,4,3,2,2,0,True,False,False,False,False,False,False,True,False,False
Gadchiroli,Nagpur,Kharif,2012,0.35610453558554844,0.16696063332308383,0.06009144966600988,1.4784683497802187,-0.4055108198725057,0.4545379451809888,0.44749155271265617,-0.20729425193692047,Deep Black Cotton,8.0,0.46,252.2,29.4,433.3,22.7,0.67,Soybean,4,drip,HYV,233.4,1,Rice,0.42857142857142855,0.4363636363636364,0.45161290322580644,0.2,9,3,0,0,1216.8,0.352,Medium,normal,1.986,1986.0,0.64,0.7,1.0,0.9,881.7,-0.136,5,1,2,4,0,True,False,False,False,False,False,False,True,False,False
Gadchiroli,Nagpur,Kharif,2012,0.2266232998355051,0.20410377707401017,-1.345240520254175,0.6493052115238236,-0.26853587003573137,0.12180137085079118,-0.4925425964211436,-0.20729425193692047,Alluvial,6.6,0.89,272.7,38.9,267.9,22.2,0.4,Cotton,-11,drip,Hybrid,299.9,5,Grapes,0.9428571428571428,0.6000000000000001,0.3064516129032258,0.0,6,4,0,0,493.1,0.152,Low,normal,1.148,1794.0,1.488,1.0,1.0,0.8,443.2,-0.046,0,1,3,1,0,False,False,False,False,False,False,False,True,False,False
Gadchiroli,Nagpur,Kharif,2012,0.34808357407890855,0.16696063332308383,-0.11025181941522554,-0.9255082309199767,-0.6794607195460542,0.4342844145695855,-0.25753405913769367,-0.20729425193692047,Deep Black Cotton,7.9,0.72,245.6,27.2,382.4,29.5,0.67,Rice,-3,rainfed,BT,119.6,3,Rice,0.3428571428571429,0.4363636363636364,0.5000000000000001,0.0,0,2,0,0,2137.3,0.047,Low,normal,0.74,1962.0,3.074,0.5,0.4,0.0,1479.6,-0.136,4,3,0,4,0,True,False,False,False,False,False,False,True,False,False
Gondia,Nagpur,Kharif,2012,0.2387979735509406,1.3555412333527106,-0.0676660021449163,-0.17389272429907188,-0.54248576970928,0.15362834752585358,-0.4925425964211436,-0.20729425193692047,Red Laterite,6.3,0.46,151.1,12.5,174.3,22.9,0.12,Soybean,-3,drip,BT,288.1,4,Sugarcane,0.6571428571428573,0.6727272727272728,0.5322580645161291,0.0,7,1,0,1,1528.8,0.327,Medium,normal,1.804,2160.0,2.75,0.9,1.0,0.233,1260.8,0.008,5,1,0,6,0,False,False,False,False,True,False,False,True,False,False
Gondia,Nagpur,Kharif,2012,0.15472110918669804,1.4669706646054868,-1.132311433902632,0.6254444017898263,0.14238897947459156,-0.06337376616775357,0.21248301542920622,-0.20729425193692047,Red Laterite,5.6,0.48,137.5,16.3,253.7,24.1,0.4,Cotton,3,furrow,BT,204.1,2,Tur Dal,0.45714285714285713,0.709090909090909,0.6774193548387097,0.0,6,1,0,1,488.8,0.252,Medium,normal,1.076,2028.0,1.817,0.4,0.65,0.2,407.6,0.028,0,2,0,7,0,False,False,False,False,True,False,False,True,False,False
Gondia,Nagpur,Kharif,2012,0.36670366329075105,0.8355372208397498,-1.217483068443249,1.2219646451397506,-0.8164356693828286,0.4805781988242216,0.9175086272795561,-0.20729425193692047,Deep Black Cotton,7.7,0.63,194.9,24.4,466.2,20.3,0.55,Rice,4,rainfed,Desi,218.7,1,Grapes,0.6857142857142857,0.8,0.6290322580645162,0.4,6,3,0,0,1971.8,0.319,Medium,normal,0.751,1914.0,0.992,0.8,0.4,0.6,2311.2,0.078,4,3,1,1,0,True,False,False,False,False,False,False,True,False,False
Bhandara,Nagpur,Kharif,2012,0.038560398795895984,1.0212529395943788,-0.19542345395584249,1.4844335522137178,-0.13156092019895704,-0.361390002306974,-0.02252552185424372,-0.20729425193692047,Deep Black Cotton,7.8,0.54,276.6,34.3,388.7,35.9,0.31,Soybean,-10,furrow,BT,108.9,5,Onion,0.6285714285714286,0.8545454545454545,0.7096774193548389,0.0,21,5,1,1,1421.2,1.0,Critical,pest_outbreak,1.493,2088.0,0.718,0.7,0.65,3.5,1517.7,0.121,5,2,0,3,0,True,False,False,False,False,False,False,True,False,False
Bhandara,Nagpur,Kharif,2012,0.07379533684292104,0.8355372208397498,0.06009144966600988,0.41069711418385385,-1.2273605188931516,-0.26880243379770163,-0.02252552185424372,-0.20729425193692047,Deep Black Cotton,8.1,0.44,258.9,25.6,358.5,33.1,0.88,Cotton,-2,sprinkler,Hybrid,289.7,3,Jowar,0.8285714285714285,0.6363636363636365,0.40322580645161293,0.2,9,6,1,0,401.0,0.462,Medium,normal,0.995,2094.0,1.898,0.7,0.85,1.8,335.8,0.001,0,4,3,2,0,True,False,False,False,False,False,False,True,False,False
Bhandara,Nagpur,Kharif,2012,0.3283176332232603,0.5012489270814181,-1.0045539820917058,0.6493052115238236,0.005414029637817257,0.38220390728311976,-2.372610894688743,-0.20729425193692047,Red Laterite,6.1,0.34,206.2,20.0,123.6,21.8,0.25,Rice,5,furrow,BT,246.5,0,Onion,0.7714285714285714,0.5272727272727271,0.33870967741935487,0.0,4,2,1,1,1970.7,0.443,Medium,normal,0.729,1890.0,1.554,0.9,0.65,0.267,1873.8,-0.059,4,2,0,3,0,False,False,False,False,True,False,False,True,False,False
Mumbai City,Konkan,Kharif,2013,2.0668610397874465,-2.433059429241721,2.019039044100206,1.812519686056176,0.2793639293113659,0.046573971437007367,-1.4325767455549432,-0.20729425193692047,Laterite,6.1,0.72,165.2,5.8,193.4,18.8,0.27,Rice,4,rainfed,HYV,187.4,4,Grapes,0.28571428571428575,0.6363636363636365,0.7096774193548389,0.0,3,3,0,0,2429.7,0.074,Low,normal,1.74,1842.0,0.204,0.9,0.4,0.3,2802.7,0.015,4,3,2,1,0,False,True,False,False,False,False,True,False,False,False
Mumbai Suburban,Konkan,Kharif,2013,1.6049395958782768,-1.8016259854759824,1.763524140478355,1.323373086509238,-0.8164356693828286,-0.3961103404979512,0.21248301542920622,-0.20729425193692047,Laterite,5.9,0.36,192.8,7.4,176.5,25.6,0.36,Rice,-8,sprinkler,HYV,209.4,3,Sugarcane,0.5428571428571429,0.6000000000000001,0.5322580645161291,0.2,4,7,1,0,3117.1,0.434,Medium,normal,1.471,1908.0,0.593,0.9,0.85,0.933,2794.3,-0.094,4,4,2,6,0,False,True,False,False,False,False,True,False,False,False
Thane,Konkan,Kharif,2013,1.9356610265716947,-1.2073356854611692,1.0395652468831087,1.323373086509238,-0.13156092019895704,-0.07784057374732739,-0.02252552185424372,-0.20729425193692047,Alluvial,6.7,0.92,252.4,19.0,248.9,35.3,0.23,Rice,-4,drip,Desi,292.5,0,Jowar,0.45714285714285713,0.4,0.40322580645161293,0.2,19,1,1,1,2242.3,1.0,Critical,pest_outbreak,1.664,1902.0,0.649,1.0,1.0,0.633,1852.4,-0.115,4,1,1,2,0,False,False,False,False,False,False,True,False,False,False
